 +7 (495) 215 0500;;;;;;;;;;Верно на 01.06.2013;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;Перечень квартир в продаже ЖК BRAVO;;;;;Секция I;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Этаж;"Усл.№ 
кв-ры";Номер секции;№ на площад.;Кол-во комнат;S кв-ры без балкона кв.м.;"S кв-ры с балконом 
(k-0,5)";"Цена, 
руб./м2 ";" Стоимость,
руб.   ";;;;;;;;;
;2;1;I;1;3;82,56;91,17;68 000;6 199 560;;;;;;;;;
;;2;I;2;2;60,86;66,94;72 000;4 819 680;;;;;;;;;
;;3;I;3;1;42,84;47,43;70 000;3 320 100;;;;;;;;;
;;4;I;4;1;39,88;43,93;72 000;3 162 960;;;;;;;;;
;;5;I;5;2;62,37;66,76;72 000;4 806 720;;;;;;;;;
;3;6;I;1;3;82,56;91,17;68 000;6 199 560;;;;;;;;;
;;7;I;2;2;60,86;66,94;72 000;4 819 680;;;;;;;;;
;;8;I;3;1;42,84;47,43;70 000;3 320 100;;;;;;;;;
;;9;I;4;1;39,88;43,93;72 000;3 162 960;;;;;;;;;
;;10;I;5;2;62,37;66,76;72 000;4 806 720;;;;;;;;;
;4;11;I;1;3;82,56;91,17;68 000;6 199 560;;;;;;;;;
;;12;I;2;2;60,86;66,94;72 000;4 819 680;;;;;;;;;
;;13;I;3;1;42,84;47,43;70 000;3 320 100;;;;;;;;;
;;14;I;4;1;39,88;43,93;72 000;3 162 960;;;;;;;;;
;;15;I;5;2;62,37;66,76;72 000;4 806 720;;;;;;;;;
;5;16;I;1;3;82,56;91,17;68 000;6 199 560;;;;;;;;;
;;17;I;2;2;60,63;67,37;72 000;4 850 640;;;;;;;;;
;;18;I;3;1;42,76;51,07;70 000;3 574 900;;;;;;;;;
;;19;I;4;1;39,93;43,95;72 000;3 164 400;;;;;;;;;
;;20;I;5;2;62,00;66,14;72 000;4 762 080;;;;;;;;;
;6;21;I;1;3;82,56;91,17;70 000;6 381 900;;;;;;;;;
;;22;I;2;2;60,63;67,37;73 000;4 918 010;;;;;;;;;
;;23;I;3;1;42,76;51,07;71 000;3 625 970;;;;;;;;;
;;24;I;4;1;39,93;43,95;73 000;3 208 350;;;;;;;;;
;;25;I;5;2;62,00;66,14;73 000;4 828 220;;;;;;;;;
;7;26;I;1;3;82,56;91,17;70 000;6 381 900;;;;;;;;;
;;27;I;2;2;60,63;67,37;73 000;4 918 010;;;;;;;;;
;;28;I;3;1;42,76;51,07;71 000;3 625 970;;;;;;;;;
;;30;I;5;2;62,00;66,39;73 000;4 846 470;;;;;;;;;
;8;31;I;1;3;82,56;91,17;70 000;6 381 900;;;;;;;;;
;;32;I;2;2;60,63;67,37;73 000;4 918 010;;;;;;;;;
;;33;I;3;1;42,76;51,07;71 000;3 625 970;;;;;;;;;
;;34;I;4;1;39,93;43,95;73 000;3 208 350;;;;;;;;;
;;35;I;5;2;62,00;66,39;73 000;4 846 470;;;;;;;;;
;9;36;I;1;3;82,56;91,17;70 000;6 381 900;;;;;;;;;
;;37;I;2;2;60,63;67,37;73 000;4 918 010;;;;;;;;;
;;38;I;3;1;42,76;51,07;71 000;3 625 970;;;;;;;;;
;;40;I;5;2;62,00;66,39;73 000;4 846 470;;;;;;;;;
;10;41;I;1;3;82,56;91,17;75 000;6 837 750;;;;;;;;;
;;42;I;2;2;60,63;67,37;75 000;5 052 750;;;;;;;;;
;;43;I;3;3;80,00;96,62;75 000;7 246 500;;;;;;;;;
;;44;I;4;3;80,33;88,37;75 000;6 627 750;;;;;;;;;
;;45;I;5;2;62,00;70,53;75 000;5 289 750;;;;;;;;;
;11;46;I;2;2;60,63;67,37;75 000;5 052 750;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
